
        aeat         rho           p          cp           t         isp          ae          cf
   0.0000E+00  1.1439E+01  1.2029E+01  1.4061E+02  5.8285E+00  3.6609E+03  1.1501E+03  1.0000E+00
   0.0000E+00  1.9140E+01  2.0295E+01  2.5331E+02  5.7928E+00  3.8596E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.1826E+01  1.2518E+01  1.4646E+02  5.7979E+00  3.6664E+03  1.1507E+03  1.0000E+00
   0.0000E+00  9.2101E+00  2.1087E+01  2.6344E+02  5.7638E+00  3.8656E+03  0.0000E+00  0.0000E+00
   0.0000E+00  5.6857E+00  1.3007E+01  1.5231E+02  5.7687E+00  3.6716E+03  1.1513E+03  1.0000E+00
   0.0000E+00  9.8514E+00  2.1877E+01  2.7358E+02  5.7361E+00  3.8713E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.0819E+00  1.3495E+01  1.5815E+02  5.7407E+00  3.6767E+03  1.1519E+03  1.0000E+00
   0.0000E+00  1.0492E+01  2.2667E+01  2.8371E+02  5.7095E+00  3.8769E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.4775E+00  1.3982E+01  1.6400E+02  5.7139E+00  3.6815E+03  1.1525E+03  1.0000E+00
   0.0000E+00  1.1131E+01  2.3457E+01  2.9384E+02  5.6840E+00  3.8822E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.8726E+00  1.4470E+01  1.6985E+02  5.6881E+00  3.6862E+03  1.1530E+03  1.0000E+00
   0.0000E+00  1.1770E+01  2.4246E+01  3.0398E+02  5.6595E+00  3.8874E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.2672E+00  1.4956E+01  1.7570E+02  5.6634E+00  3.6908E+03  1.1535E+03  1.0000E+00
   0.0000E+00  1.2408E+01  1.1686E+01  1.4185E+02  6.0861E+00  3.7545E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.6613E+00  7.2064E+00  8.2082E+01  6.0755E+00  3.5715E+03  1.1343E+03  1.0000E+00
   0.0000E+00  1.3045E+01  1.2499E+01  1.5199E+02  6.0320E+00  3.7647E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.0551E+00  7.7080E+00  8.7936E+01  6.0210E+00  3.5806E+03  1.1353E+03  1.0000E+00
   0.0000E+00  1.3682E+01  1.3311E+01  1.6212E+02  5.9818E+00  3.7743E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.4484E+00  8.2088E+00  9.3789E+01  5.9706E+00  3.5890E+03  1.1363E+03  1.0000E+00
   0.0000E+00  1.4318E+01  1.4122E+01  1.7225E+02  5.9351E+00  3.7833E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.8413E+00  8.7088E+00  9.9641E+01  5.9236E+00  3.5970E+03  1.1373E+03  1.0000E+00
   0.0000E+00  1.4953E+01  1.4931E+01  1.8238E+02  5.8915E+00  3.7918E+03  0.0000E+00  0.0000E+00
   0.0000E+00  9.2339E+00  9.2083E+00  1.0549E+02  5.8797E+00  3.6045E+03  1.1381E+03  1.0000E+00
   0.0000E+00  1.5588E+01  1.5739E+01  1.9252E+02  5.8505E+00  3.7999E+03  0.0000E+00  0.0000E+00
   0.0000E+00  9.6262E+00  9.7070E+00  1.1134E+02  5.8385E+00  3.6116E+03  1.1389E+03  1.0000E+00
   0.0000E+00  1.6222E+01  1.6547E+01  2.0265E+02  5.8119E+00  3.8075E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0018E+01  1.0205E+01  1.1720E+02  5.7997E+00  3.6183E+03  1.1397E+03  1.0000E+00
   0.0000E+00  1.6856E+01  1.7353E+01  2.1278E+02  5.7755E+00  3.8148E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0410E+01  1.0703E+01  1.2305E+02  5.7630E+00  3.6247E+03  1.1405E+03  1.0000E+00
   0.0000E+00  1.7489E+01  1.8159E+01  2.2291E+02  5.7410E+00  3.8217E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0801E+01  1.1200E+01  1.2890E+02  5.7283E+00  3.6308E+03  1.1412E+03  1.0000E+00
